Date,Year,Gare,Attribute,Value
2016-10-04,2016,Auber,HUMI,43.375
2016-10-05,2016,Auber,HUMI,43.125
2016-10-06,2016,Auber,HUMI,42.041666666666664
2016-10-07,2016,Auber,HUMI,43.875
2016-10-08,2016,Auber,HUMI,43.583333333333336
2016-10-09,2016,Auber,HUMI,41.583333333333336
2016-10-10,2016,Auber,HUMI,43.0
2016-10-11,2016,Auber,HUMI,43.125
2016-10-12,2016,Auber,HUMI,43.333333333333336
2016-10-13,2016,Auber,HUMI,44.0
2016-10-14,2016,Auber,HUMI,44.041666666666664
2016-10-15,2016,Auber,HUMI,44.75
2016-10-16,2016,Auber,HUMI,44.375
2016-10-17,2016,Auber,HUMI,45.208333333333336
2016-10-18,2016,Auber,HUMI,44.333333333333336
2016-10-19,2016,Auber,HUMI,44.0
2016-10-20,2016,Auber,HUMI,44.083333333333336
2016-10-21,2016,Auber,HUMI,44.291666666666664
2016-10-22,2016,Auber,HUMI,44.083333333333336
2016-10-23,2016,Auber,HUMI,43.5
2016-10-24,2016,Auber,HUMI,45.541666666666664
2016-10-25,2016,Auber,HUMI,44.583333333333336
2016-10-26,2016,Auber,HUMI,44.833333333333336
2016-10-27,2016,Auber,HUMI,45.375
2016-10-28,2016,Auber,HUMI,44.541666666666664
2016-10-29,2016,Auber,HUMI,44.0
2016-10-30,2016,Auber,HUMI,44.12
2016-10-31,2016,Auber,HUMI,44.208333333333336
2016-11-01,2016,Auber,HUMI,44.125
2016-11-02,2016,Auber,HUMI,44.375
2016-11-03,2016,Auber,HUMI,43.458333333333336
2016-11-04,2016,Auber,HUMI,44.083333333333336
2016-11-05,2016,Auber,HUMI,44.0
2016-11-06,2016,Auber,HUMI,43.666666666666664
2016-11-07,2016,Auber,HUMI,43.791666666666664
2016-11-08,2016,Auber,HUMI,43.666666666666664
2016-11-09,2016,Auber,HUMI,44.0
2016-11-10,2016,Auber,HUMI,44.25
2016-11-11,2016,Auber,HUMI,43.916666666666664
2016-11-12,2016,Auber,HUMI,43.916666666666664
2016-11-13,2016,Auber,HUMI,45.666666666666664
2016-11-14,2016,Auber,HUMI,44.25
2016-11-15,2016,Auber,HUMI,46.958333333333336
2016-11-16,2016,Auber,HUMI,44.458333333333336
2016-11-17,2016,Auber,HUMI,44.916666666666664
2016-11-18,2016,Auber,HUMI,43.708333333333336
2016-11-19,2016,Auber,HUMI,43.5
2016-11-20,2016,Auber,HUMI,44.291666666666664
2016-11-21,2016,Auber,HUMI,45.25
2016-11-22,2016,Auber,HUMI,44.083333333333336
2016-11-23,2016,Auber,HUMI,44.916666666666664
2016-11-24,2016,Auber,HUMI,44.0
2016-11-25,2016,Auber,HUMI,44.125
2016-11-26,2016,Auber,HUMI,44.0
2016-11-27,2016,Auber,HUMI,43.791666666666664
2016-11-28,2016,Auber,HUMI,41.666666666666664
2016-11-29,2016,Auber,HUMI,39.5
2016-11-30,2016,Auber,HUMI,41.333333333333336
2016-12-01,2016,Auber,HUMI,43.083333333333336
2016-12-02,2016,Auber,HUMI,44.0
2016-12-03,2016,Auber,HUMI,43.416666666666664
2016-12-04,2016,Auber,HUMI,43.208333333333336
2016-12-05,2016,Auber,HUMI,43.958333333333336
2016-12-06,2016,Auber,HUMI,44.083333333333336
2016-12-07,2016,Auber,HUMI,44.083333333333336
2016-12-08,2016,Auber,HUMI,43.75
2016-12-09,2016,Auber,HUMI,44.25
2016-12-10,2016,Auber,HUMI,44.166666666666664
2016-12-11,2016,Auber,HUMI,44.208333333333336
2016-12-12,2016,Auber,HUMI,44.333333333333336
2016-12-13,2016,Auber,HUMI,44.166666666666664
2016-12-14,2016,Auber,HUMI,44.0
2016-12-15,2016,Auber,HUMI,44.0
2016-12-16,2016,Auber,HUMI,43.916666666666664
2016-12-17,2016,Auber,HUMI,43.833333333333336
2016-12-18,2016,Auber,HUMI,43.75
2016-12-19,2016,Auber,HUMI,44.125
2016-12-20,2016,Auber,HUMI,42.958333333333336
2016-12-21,2016,Auber,HUMI,44.0
2016-12-22,2016,Auber,HUMI,45.083333333333336
2016-12-23,2016,Auber,HUMI,44.083333333333336
2016-12-24,2016,Auber,HUMI,44.541666666666664
2016-12-25,2016,Auber,HUMI,44.291666666666664
2016-12-26,2016,Auber,HUMI,44.416666666666664
2016-12-27,2016,Auber,HUMI,43.791666666666664
2016-12-28,2016,Auber,HUMI,43.208333333333336
2016-12-29,2016,Auber,HUMI,41.916666666666664
2016-12-30,2016,Auber,HUMI,43.25
2016-12-31,2016,Auber,HUMI,44.0
2017-01-01,2017,Auber,HUMI,43.27272727272727
2017-01-02,2017,Auber,HUMI,44.0
2017-01-03,2017,Auber,HUMI,44.0
2017-01-04,2017,Auber,HUMI,44.0
2017-01-05,2017,Auber,HUMI,43.5
2017-01-06,2017,Auber,HUMI,43.5
2017-01-07,2017,Auber,HUMI,42.583333333333336
2017-01-08,2017,Auber,HUMI,44.0
2017-01-09,2017,Auber,HUMI,45.166666666666664
2017-01-10,2017,Auber,HUMI,44.5
2017-01-11,2017,Auber,HUMI,44.208333333333336
2017-01-12,2017,Auber,HUMI,44.083333333333336
2017-01-13,2017,Auber,HUMI,43.416666666666664
2017-01-14,2017,Auber,HUMI,43.083333333333336
2017-01-15,2017,Auber,HUMI,43.5
2017-01-16,2017,Auber,HUMI,43.708333333333336
2017-01-17,2017,Auber,HUMI,43.333333333333336
2017-01-18,2017,Auber,HUMI,43.375
2017-01-19,2017,Auber,HUMI,43.5
2017-01-20,2017,Auber,HUMI,41.041666666666664
2017-01-21,2017,Auber,HUMI,44.0
2017-01-22,2017,Auber,HUMI,42.291666666666664
2017-01-23,2017,Auber,HUMI,43.375
2017-01-24,2017,Auber,HUMI,44.083333333333336
2017-01-25,2017,Auber,HUMI,43.666666666666664
2017-01-26,2017,Auber,HUMI,39.75
2017-01-27,2017,Auber,HUMI,43.708333333333336
2017-01-28,2017,Auber,HUMI,44.375
2017-01-29,2017,Auber,HUMI,44.166666666666664
2017-01-30,2017,Auber,HUMI,46.0
2017-01-31,2017,Auber,HUMI,47.25
2017-02-01,2017,Auber,HUMI,45.291666666666664
2017-02-02,2017,Auber,HUMI,44.416666666666664
2017-02-03,2017,Auber,HUMI,44.333333333333336
2017-02-04,2017,Auber,HUMI,44.458333333333336
2017-02-05,2017,Auber,HUMI,44.541666666666664
2017-02-06,2017,Auber,HUMI,44.25
2017-02-07,2017,Auber,HUMI,44.375
2017-02-08,2017,Auber,HUMI,44.0
2017-02-09,2017,Auber,HUMI,43.791666666666664
2017-02-10,2017,Auber,HUMI,44.0
2017-02-11,2017,Auber,HUMI,42.875
2017-02-12,2017,Auber,HUMI,43.208333333333336
2017-02-13,2017,Auber,HUMI,44.0
2017-02-14,2017,Auber,HUMI,43.75
2017-02-15,2017,Auber,HUMI,44.625
2017-02-16,2017,Auber,HUMI,44.875
2017-02-17,2017,Auber,HUMI,44.583333333333336
2017-02-18,2017,Auber,HUMI,44.0
2017-02-19,2017,Auber,HUMI,44.041666666666664
2017-02-20,2017,Auber,HUMI,44.333333333333336
2017-02-21,2017,Auber,HUMI,45.833333333333336
2017-02-22,2017,Auber,HUMI,44.0
2017-02-23,2017,Auber,HUMI,44.166666666666664
2017-02-24,2017,Auber,HUMI,44.0
2017-02-25,2017,Auber,HUMI,42.416666666666664
2017-02-26,2017,Auber,HUMI,44.541666666666664
2017-02-27,2017,Auber,HUMI,44.333333333333336
2017-02-28,2017,Auber,HUMI,43.375
2017-03-01,2017,Auber,HUMI,44.041666666666664
2017-03-02,2017,Auber,HUMI,42.78947368421053
2017-03-03,2017,Auber,HUMI,43.666666666666664
2017-03-04,2017,Auber,HUMI,44.75
2017-03-05,2017,Auber,HUMI,44.333333333333336
2017-03-06,2017,Auber,HUMI,44.125
2017-03-07,2017,Auber,HUMI,43.833333333333336
2017-03-08,2017,Auber,HUMI,45.583333333333336
2017-03-09,2017,Auber,HUMI,47.041666666666664
2017-03-10,2017,Auber,HUMI,44.791666666666664
2017-03-11,2017,Auber,HUMI,43.791666666666664
2017-03-12,2017,Auber,HUMI,43.791666666666664
2017-03-13,2017,Auber,HUMI,44.208333333333336
2017-03-14,2017,Auber,HUMI,44.375
2017-03-15,2017,Auber,HUMI,44.166666666666664
2017-03-16,2017,Auber,HUMI,44.375
2017-03-17,2017,Auber,HUMI,44.291666666666664
2017-03-18,2017,Auber,HUMI,44.541666666666664
2017-03-19,2017,Auber,HUMI,46.583333333333336
2017-03-20,2017,Auber,HUMI,44.458333333333336
2017-03-21,2017,Auber,HUMI,44.208333333333336
2017-03-22,2017,Auber,HUMI,43.541666666666664
2017-03-23,2017,Auber,HUMI,44.333333333333336
2017-03-24,2017,Auber,HUMI,44.0
2017-03-25,2017,Auber,HUMI,44.166666666666664
2017-03-26,2017,Auber,HUMI,43.08695652173913
2017-03-27,2017,Auber,HUMI,43.458333333333336
2017-03-28,2017,Auber,HUMI,43.958333333333336
2017-03-29,2017,Auber,HUMI,43.625
2017-03-30,2017,Auber,HUMI,43.375
2017-03-31,2017,Auber,HUMI,43.958333333333336
2017-04-01,2017,Auber,HUMI,44.041666666666664
2017-04-02,2017,Auber,HUMI,43.75
2017-04-03,2017,Auber,HUMI,43.25
2017-04-04,2017,Auber,HUMI,43.791666666666664
2017-04-05,2017,Auber,HUMI,44.083333333333336
2017-04-06,2017,Auber,HUMI,43.125
2017-04-07,2017,Auber,HUMI,43.0
2017-04-08,2017,Auber,HUMI,44.0
2017-04-09,2017,Auber,HUMI,43.791666666666664
2017-04-10,2017,Auber,HUMI,42.75
2017-04-11,2017,Auber,HUMI,43.083333333333336
2017-04-12,2017,Auber,HUMI,42.375
2017-04-13,2017,Auber,HUMI,43.625
2017-04-14,2017,Auber,HUMI,44.0
2017-04-15,2017,Auber,HUMI,44.625
2017-04-16,2017,Auber,HUMI,42.791666666666664
2017-04-17,2017,Auber,HUMI,44.166666666666664
2017-04-18,2017,Auber,HUMI,42.416666666666664
2017-04-19,2017,Auber,HUMI,41.125
2017-04-20,2017,Auber,HUMI,37.916666666666664
2017-04-21,2017,Auber,HUMI,42.75
2017-04-22,2017,Auber,HUMI,43.958333333333336
2017-04-23,2017,Auber,HUMI,43.166666666666664
2017-04-24,2017,Auber,HUMI,42.041666666666664
2017-04-25,2017,Auber,HUMI,42.916666666666664
2017-04-26,2017,Auber,HUMI,42.041666666666664
2017-04-27,2017,Auber,HUMI,42.875
2017-04-28,2017,Auber,HUMI,43.541666666666664
2017-04-29,2017,Auber,HUMI,44.125
2017-04-30,2017,Auber,HUMI,43.125
2017-05-01,2017,Auber,HUMI,44.125
2017-05-02,2017,Auber,HUMI,43.375
2017-05-03,2017,Auber,HUMI,44.791666666666664
2017-05-04,2017,Auber,HUMI,44.0
2017-05-05,2017,Auber,HUMI,44.25
2017-05-06,2017,Auber,HUMI,44.541666666666664
2017-05-07,2017,Auber,HUMI,45.333333333333336
2017-05-08,2017,Auber,HUMI,44.416666666666664
2017-05-09,2017,Auber,HUMI,43.708333333333336
2017-05-10,2017,Auber,HUMI,44.0
2017-05-11,2017,Auber,HUMI,45.0
2017-05-12,2017,Auber,HUMI,45.625
2017-05-13,2017,Auber,HUMI,44.375
2017-05-14,2017,Auber,HUMI,44.0
2017-05-15,2017,Auber,HUMI,44.458333333333336
2017-05-16,2017,Auber,HUMI,43.791666666666664
2017-05-17,2017,Auber,HUMI,43.958333333333336
2017-05-18,2017,Auber,HUMI,44.0
2017-05-19,2017,Auber,HUMI,43.666666666666664
2017-05-20,2017,Auber,HUMI,43.875
2017-05-21,2017,Auber,HUMI,43.958333333333336
2017-05-22,2017,Auber,HUMI,43.083333333333336
2017-05-23,2017,Auber,HUMI,44.583333333333336
2017-05-24,2017,Auber,HUMI,45.25
2017-05-25,2017,Auber,HUMI,43.916666666666664
2017-05-26,2017,Auber,HUMI,43.708333333333336
2017-05-27,2017,Auber,HUMI,44.833333333333336
2017-05-28,2017,Auber,HUMI,45.833333333333336
2017-05-29,2017,Auber,HUMI,45.708333333333336
2017-05-30,2017,Auber,HUMI,44.083333333333336
2017-05-31,2017,Auber,HUMI,43.416666666666664
2017-06-01,2017,Auber,HUMI,43.916666666666664
2017-06-02,2017,Auber,HUMI,44.291666666666664
2017-06-03,2017,Auber,HUMI,44.375
2017-06-04,2017,Auber,HUMI,43.708333333333336
2017-06-05,2017,Auber,HUMI,42.916666666666664
2017-06-06,2017,Auber,HUMI,43.916666666666664
2017-06-07,2017,Auber,HUMI,42.458333333333336
2017-06-08,2017,Auber,HUMI,43.875
2017-06-09,2017,Auber,HUMI,43.583333333333336
2017-06-10,2017,Auber,HUMI,43.625
2017-06-11,2017,Auber,HUMI,44.083333333333336
2017-06-12,2017,Auber,HUMI,42.583333333333336
2017-06-13,2017,Auber,HUMI,43.5
2017-06-14,2017,Auber,HUMI,43.708333333333336
2017-06-15,2017,Auber,HUMI,44.708333333333336
2017-06-16,2017,Auber,HUMI,43.666666666666664
2017-06-17,2017,Auber,HUMI,43.875
2017-06-18,2017,Auber,HUMI,44.291666666666664
2017-06-19,2017,Auber,HUMI,44.125
2017-06-20,2017,Auber,HUMI,43.916666666666664
2017-06-21,2017,Auber,HUMI,43.958333333333336
2017-06-22,2017,Auber,HUMI,44.041666666666664
2017-06-23,2017,Auber,HUMI,43.791666666666664
2017-06-24,2017,Auber,HUMI,43.416666666666664
2017-06-25,2017,Auber,HUMI,44.0
2017-06-26,2017,Auber,HUMI,43.833333333333336
2017-06-27,2017,Auber,HUMI,44.0
2017-06-28,2017,Auber,HUMI,44.375
2017-06-29,2017,Auber,HUMI,43.916666666666664
2017-06-30,2017,Auber,HUMI,44.333333333333336
2017-07-01,2017,Auber,HUMI,44.75
2017-07-02,2017,Auber,HUMI,44.333333333333336
2017-07-03,2017,Auber,HUMI,44.083333333333336
2017-07-04,2017,Auber,HUMI,44.125
2017-07-05,2017,Auber,HUMI,44.041666666666664
2017-07-06,2017,Auber,HUMI,44.166666666666664
2017-07-07,2017,Auber,HUMI,43.75
2017-07-08,2017,Auber,HUMI,43.916666666666664
2017-07-09,2017,Auber,HUMI,43.958333333333336
2017-07-10,2017,Auber,HUMI,44.833333333333336
2017-07-11,2017,Auber,HUMI,43.416666666666664
2017-07-12,2017,Auber,HUMI,44.0
2017-07-13,2017,Auber,HUMI,42.916666666666664
2017-07-14,2017,Auber,HUMI,43.166666666666664
2017-07-15,2017,Auber,HUMI,42.833333333333336
2017-07-16,2017,Auber,HUMI,44.0
2017-07-17,2017,Auber,HUMI,43.958333333333336
2017-07-18,2017,Auber,HUMI,44.166666666666664
2017-07-19,2017,Auber,HUMI,44.25
2017-07-20,2017,Auber,HUMI,44.333333333333336
2017-07-21,2017,Auber,HUMI,43.458333333333336
2017-07-22,2017,Auber,HUMI,44.0
2017-07-23,2017,Auber,HUMI,43.833333333333336
2017-07-24,2017,Auber,HUMI,44.541666666666664
2017-07-25,2017,Auber,HUMI,43.791666666666664
2017-07-26,2017,Auber,HUMI,44.0
2017-07-27,2017,Auber,HUMI,45.375
2017-07-28,2017,Auber,HUMI,44.0
2017-07-29,2017,Auber,HUMI,44.416666666666664
2017-07-30,2017,Auber,HUMI,43.791666666666664
2017-07-31,2017,Auber,HUMI,43.875
2017-08-01,2017,Auber,HUMI,44.916666666666664
2017-08-02,2017,Auber,HUMI,43.541666666666664
2017-08-03,2017,Auber,HUMI,45.291666666666664
2017-08-04,2017,Auber,HUMI,44.0
2017-08-05,2017,Auber,HUMI,44.333333333333336
2017-08-06,2017,Auber,HUMI,43.25
2017-08-07,2017,Auber,HUMI,43.041666666666664
2017-08-08,2017,Auber,HUMI,44.0
2017-08-09,2017,Auber,HUMI,44.708333333333336
2017-08-10,2017,Auber,HUMI,44.25
2017-08-11,2017,Auber,HUMI,44.666666666666664
2017-08-12,2017,Auber,HUMI,44.916666666666664
2017-08-13,2017,Auber,HUMI,44.333333333333336
2017-08-14,2017,Auber,HUMI,44.875
2017-08-15,2017,Auber,HUMI,44.583333333333336
2017-08-16,2017,Auber,HUMI,44.375
2017-08-17,2017,Auber,HUMI,46.416666666666664
2017-08-18,2017,Auber,HUMI,45.291666666666664
2017-08-19,2017,Auber,HUMI,44.166666666666664
2017-08-20,2017,Auber,HUMI,44.041666666666664
2017-08-21,2017,Auber,HUMI,44.625
2017-08-22,2017,Auber,HUMI,46.208333333333336
2017-08-23,2017,Auber,HUMI,45.291666666666664
2017-08-24,2017,Auber,HUMI,44.833333333333336
2017-08-25,2017,Auber,HUMI,44.916666666666664
2017-08-26,2017,Auber,HUMI,47.5
2017-08-27,2017,Auber,HUMI,44.583333333333336
2017-08-28,2017,Auber,HUMI,44.791666666666664
2017-08-29,2017,Auber,HUMI,44.625
2017-08-30,2017,Auber,HUMI,44.958333333333336
2017-08-31,2017,Auber,HUMI,43.291666666666664
2017-09-01,2017,Auber,HUMI,43.541666666666664
2017-09-02,2017,Auber,HUMI,43.75
2017-09-03,2017,Auber,HUMI,43.458333333333336
2017-09-04,2017,Auber,HUMI,44.208333333333336
2017-09-05,2017,Auber,HUMI,44.166666666666664
2017-09-06,2017,Auber,HUMI,43.875
2017-09-07,2017,Auber,HUMI,44.0
2017-09-08,2017,Auber,HUMI,43.916666666666664
2017-09-09,2017,Auber,HUMI,44.375
2017-09-10,2017,Auber,HUMI,44.0
2017-09-11,2017,Auber,HUMI,43.75
2017-09-12,2017,Auber,HUMI,43.958333333333336
2017-09-13,2017,Auber,HUMI,44.375
2017-09-14,2017,Auber,HUMI,43.916666666666664
2017-09-15,2017,Auber,HUMI,43.333333333333336
2017-09-16,2017,Auber,HUMI,43.416666666666664
2017-09-17,2017,Auber,HUMI,43.875
2017-09-18,2017,Auber,HUMI,44.0
2017-09-19,2017,Auber,HUMI,43.875
2017-09-20,2017,Auber,HUMI,43.75
2017-09-21,2017,Auber,HUMI,43.625
2017-09-22,2017,Auber,HUMI,44.5
2017-09-23,2017,Auber,HUMI,43.916666666666664
2017-09-24,2017,Auber,HUMI,43.916666666666664
2017-09-25,2017,Auber,HUMI,44.208333333333336
2017-09-26,2017,Auber,HUMI,44.625
2017-09-27,2017,Auber,HUMI,45.125
2017-09-28,2017,Auber,HUMI,44.708333333333336
2017-09-29,2017,Auber,HUMI,44.333333333333336
2017-09-30,2017,Auber,HUMI,43.666666666666664
2017-10-01,2017,Auber,HUMI,44.0
2017-10-02,2017,Auber,HUMI,45.083333333333336
2017-10-03,2017,Auber,HUMI,43.666666666666664
2017-10-04,2017,Auber,HUMI,43.666666666666664
2017-10-05,2017,Auber,HUMI,44.416666666666664
2017-10-06,2017,Auber,HUMI,43.833333333333336
2017-10-07,2017,Auber,HUMI,42.333333333333336
2017-10-08,2017,Auber,HUMI,44.958333333333336
2017-10-09,2017,Auber,HUMI,44.041666666666664
2017-10-10,2017,Auber,HUMI,44.583333333333336
2017-10-11,2017,Auber,HUMI,44.291666666666664
2017-10-12,2017,Auber,HUMI,44.458333333333336
2017-10-13,2017,Auber,HUMI,44.375
2017-10-14,2017,Auber,HUMI,45.083333333333336
2017-10-15,2017,Auber,HUMI,45.041666666666664
2017-10-16,2017,Auber,HUMI,44.416666666666664
2017-10-17,2017,Auber,HUMI,45.583333333333336
2017-10-18,2017,Auber,HUMI,44.625
2017-10-19,2017,Auber,HUMI,44.125
2017-10-20,2017,Auber,HUMI,43.958333333333336
2017-10-21,2017,Auber,HUMI,43.708333333333336
2017-10-22,2017,Auber,HUMI,43.375
2017-10-23,2017,Auber,HUMI,43.958333333333336
2017-10-24,2017,Auber,HUMI,46.75
2017-10-25,2017,Auber,HUMI,45.458333333333336
2017-10-26,2017,Auber,HUMI,45.875
2017-10-27,2017,Auber,HUMI,44.166666666666664
2017-10-28,2017,Auber,HUMI,43.875
2017-10-29,2017,Auber,HUMI,44.0
2017-10-30,2017,Auber,HUMI,44.0
2017-10-31,2017,Auber,HUMI,43.5
2017-11-01,2017,Auber,HUMI,43.625
2017-11-02,2017,Auber,HUMI,44.166666666666664
2017-11-03,2017,Auber,HUMI,44.708333333333336
2017-11-04,2017,Auber,HUMI,44.375
2017-11-05,2017,Auber,HUMI,43.708333333333336
2017-11-06,2017,Auber,HUMI,43.75
2017-11-07,2017,Auber,HUMI,44.0
2017-11-08,2017,Auber,HUMI,42.0
2017-11-09,2017,Auber,HUMI,44.0
2017-11-10,2017,Auber,HUMI,44.541666666666664
2017-11-11,2017,Auber,HUMI,45.166666666666664
2017-11-12,2017,Auber,HUMI,45.041666666666664
2017-11-13,2017,Auber,HUMI,43.75
2017-11-14,2017,Auber,HUMI,43.5
2017-11-15,2017,Auber,HUMI,44.041666666666664
2017-11-16,2017,Auber,HUMI,44.0
2017-11-17,2017,Auber,HUMI,43.916666666666664
2017-11-18,2017,Auber,HUMI,43.25
2017-11-19,2017,Auber,HUMI,43.916666666666664
2017-11-20,2017,Auber,HUMI,44.166666666666664
2017-11-21,2017,Auber,HUMI,44.416666666666664
2017-11-22,2017,Auber,HUMI,44.25
2017-11-23,2017,Auber,HUMI,44.291666666666664
2017-11-24,2017,Auber,HUMI,44.708333333333336
2017-11-25,2017,Auber,HUMI,44.0
2017-11-26,2017,Auber,HUMI,43.25
2017-11-27,2017,Auber,HUMI,43.75
2017-11-28,2017,Auber,HUMI,44.458333333333336
2017-11-29,2017,Auber,HUMI,43.75
2017-11-30,2017,Auber,HUMI,43.625
2017-12-01,2017,Auber,HUMI,43.333333333333336
2017-12-02,2017,Auber,HUMI,43.208333333333336
2017-12-03,2017,Auber,HUMI,43.0
2017-12-04,2017,Auber,HUMI,44.958333333333336
2017-12-05,2017,Auber,HUMI,44.291666666666664
2017-12-06,2017,Auber,HUMI,44.0
2017-12-07,2017,Auber,HUMI,44.125
2017-12-08,2017,Auber,HUMI,44.0
2017-12-09,2017,Auber,HUMI,43.5
2017-12-10,2017,Auber,HUMI,43.875
2017-12-11,2017,Auber,HUMI,44.541666666666664
2017-12-12,2017,Auber,HUMI,43.25
2017-12-13,2017,Auber,HUMI,44.166666666666664
2017-12-14,2017,Auber,HUMI,44.458333333333336
2017-12-15,2017,Auber,HUMI,44.583333333333336
2017-12-16,2017,Auber,HUMI,43.875
2017-12-17,2017,Auber,HUMI,44.25
2017-12-18,2017,Auber,HUMI,45.083333333333336
2017-12-19,2017,Auber,HUMI,44.166666666666664
2017-12-20,2017,Auber,HUMI,44.916666666666664
2017-12-21,2017,Auber,HUMI,45.708333333333336
2017-12-22,2017,Auber,HUMI,45.75
2017-12-23,2017,Auber,HUMI,44.875
2017-12-24,2017,Auber,HUMI,45.708333333333336
2017-12-25,2017,Auber,HUMI,44.291666666666664
2017-12-26,2017,Auber,HUMI,44.333333333333336
2017-12-27,2017,Auber,HUMI,44.375
2017-12-28,2017,Auber,HUMI,43.791666666666664
2017-12-29,2017,Auber,HUMI,44.25
2017-12-30,2017,Auber,HUMI,45.041666666666664
2017-12-31,2017,Auber,HUMI,45.583333333333336
2018-01-01,2018,Auber,HUMI,44.0
2019-01-01,2019,Auber,HUMI,44.0
2019-01-02,2019,Auber,HUMI,44.0
2019-01-03,2019,Auber,HUMI,44.0
2019-01-04,2019,Auber,HUMI,44.0
2019-01-05,2019,Auber,HUMI,44.0
2019-01-06,2019,Auber,HUMI,44.0
2019-01-07,2019,Auber,HUMI,44.0
2019-01-08,2019,Auber,HUMI,44.0
2019-01-09,2019,Auber,HUMI,44.0
2019-01-10,2019,Auber,HUMI,44.0
2019-01-11,2019,Auber,HUMI,44.0
2019-01-12,2019,Auber,HUMI,44.0
2019-01-13,2019,Auber,HUMI,44.0
2019-01-14,2019,Auber,HUMI,44.0
2019-01-15,2019,Auber,HUMI,44.0
2019-01-16,2019,Auber,HUMI,44.0
2019-01-17,2019,Auber,HUMI,44.0
2019-01-18,2019,Auber,HUMI,44.0
2019-01-19,2019,Auber,HUMI,44.0
2019-01-20,2019,Auber,HUMI,44.0
2019-01-21,2019,Auber,HUMI,44.0
2019-01-22,2019,Auber,HUMI,44.0
2019-01-23,2019,Auber,HUMI,44.0
2019-01-24,2019,Auber,HUMI,44.0
2019-01-25,2019,Auber,HUMI,44.0
2019-01-26,2019,Auber,HUMI,44.0
2019-01-27,2019,Auber,HUMI,44.0
2019-01-28,2019,Auber,HUMI,44.0
2019-01-29,2019,Auber,HUMI,44.0
2019-01-30,2019,Auber,HUMI,44.0
2019-01-31,2019,Auber,HUMI,44.0
2019-02-01,2019,Auber,HUMI,44.0
2019-02-02,2019,Auber,HUMI,44.0
2019-02-03,2019,Auber,HUMI,44.0
2019-02-04,2019,Auber,HUMI,44.0
2019-02-05,2019,Auber,HUMI,44.0
2019-02-06,2019,Auber,HUMI,44.0
2019-02-07,2019,Auber,HUMI,44.0
2019-02-08,2019,Auber,HUMI,44.0
2019-02-09,2019,Auber,HUMI,44.0
2019-02-10,2019,Auber,HUMI,44.0
2019-02-11,2019,Auber,HUMI,44.0
2019-02-12,2019,Auber,HUMI,44.0
2019-02-13,2019,Auber,HUMI,44.0
2019-02-14,2019,Auber,HUMI,44.0
2019-02-15,2019,Auber,HUMI,44.0
2019-02-16,2019,Auber,HUMI,44.0
2019-02-17,2019,Auber,HUMI,44.0
2019-02-18,2019,Auber,HUMI,44.0
2019-02-19,2019,Auber,HUMI,44.0
2019-02-20,2019,Auber,HUMI,44.0
2019-02-21,2019,Auber,HUMI,44.0
2019-02-22,2019,Auber,HUMI,44.0
2019-02-23,2019,Auber,HUMI,44.0
2019-02-24,2019,Auber,HUMI,44.0
2019-02-25,2019,Auber,HUMI,44.0
2019-02-26,2019,Auber,HUMI,44.0
2019-02-27,2019,Auber,HUMI,44.0
2019-02-28,2019,Auber,HUMI,44.0
2019-03-01,2019,Auber,HUMI,44.0
2019-03-02,2019,Auber,HUMI,44.0
2019-03-03,2019,Auber,HUMI,44.0
2019-03-04,2019,Auber,HUMI,44.0
2019-03-05,2019,Auber,HUMI,44.0
2019-03-06,2019,Auber,HUMI,44.0
2019-03-07,2019,Auber,HUMI,44.0
2019-03-08,2019,Auber,HUMI,44.0
2019-03-09,2019,Auber,HUMI,44.0
2019-03-10,2019,Auber,HUMI,44.0
2019-03-11,2019,Auber,HUMI,44.0
2019-03-12,2019,Auber,HUMI,44.0
2019-03-13,2019,Auber,HUMI,44.0
2019-03-14,2019,Auber,HUMI,44.0
2019-03-15,2019,Auber,HUMI,44.0
2019-03-16,2019,Auber,HUMI,44.0
2019-03-17,2019,Auber,HUMI,44.0
2019-03-18,2019,Auber,HUMI,44.0
2019-03-19,2019,Auber,HUMI,44.0
2019-03-20,2019,Auber,HUMI,44.0
2019-03-21,2019,Auber,HUMI,44.0
2019-03-22,2019,Auber,HUMI,44.0
2019-03-23,2019,Auber,HUMI,44.0
2019-03-24,2019,Auber,HUMI,44.0
2019-03-25,2019,Auber,HUMI,44.0
2019-03-26,2019,Auber,HUMI,44.0
2019-03-27,2019,Auber,HUMI,44.0
2019-03-28,2019,Auber,HUMI,44.0
2019-03-29,2019,Auber,HUMI,44.0
2019-03-30,2019,Auber,HUMI,44.0
2019-03-31,2019,Auber,HUMI,44.0
2019-04-01,2019,Auber,HUMI,44.0
2019-04-02,2019,Auber,HUMI,44.0
2019-04-03,2019,Auber,HUMI,44.0
2019-04-04,2019,Auber,HUMI,44.0
2019-04-05,2019,Auber,HUMI,44.0
2019-04-06,2019,Auber,HUMI,44.0
2019-04-07,2019,Auber,HUMI,44.0
2019-04-08,2019,Auber,HUMI,44.0
2019-04-09,2019,Auber,HUMI,44.0
2019-04-10,2019,Auber,HUMI,44.0
2019-04-11,2019,Auber,HUMI,44.0
2019-04-12,2019,Auber,HUMI,44.0
2019-04-13,2019,Auber,HUMI,44.0
2019-04-14,2019,Auber,HUMI,44.0
2019-04-15,2019,Auber,HUMI,44.0
